scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
1553.1333333333332,1554.1333333333332,2007,224466,True,4014.0
1554.1333333333332,1562.9333333333334,1923,792498,True,3846.0
1562.9333333333334,1563.4666666666667,1860,422271,True,3720.0
1563.4666666666667,1571.0666666666666,1690,345903,True,3380.0
1571.0666666666666,1572.5333333333333,1262,145679,True,2524.0
1572.5333333333333,1573.4,1250,121393,True,2500.0
1573.4,1573.9333333333334,1534,169382,True,3068.0
1573.9333333333334,1574.4666666666667,684,92851,True,1368.0
1574.4666666666667,1578.8,1614,436226,True,3228.0
1578.8,1579.3333333333333,933,234984,True,1866.0
1579.3333333333333,1581.3333333333333,2307,284058,True,4614.0
1581.3333333333333,1586.6,1541,570034,True,3082.0
1586.6,1597.8666666666666,1037,830925,True,2074.0
1597.8666666666666,1599.6666666666667,1396,218314,True,2792.0
1599.6666666666667,1600.8,1287,165495,True,2574.0
1600.8,1602.3333333333333,1202,224313,True,2404.0
1602.3333333333333,1602.9333333333334,834,231343,False,1668.0
1602.9333333333334,1607.4666666666667,2076,520897,True,4152.0
1607.4666666666667,1609.7333333333333,1980,394898,True,3960.0
1609.7333333333333,1611.1333333333332,1224,287165,True,2448.0
1611.1333333333332,1618.3333333333333,1511,447793,True,3022.0
1618.3333333333333,1621.8666666666666,1405,499607,True,2810.0
1621.8666666666666,1628.4666666666667,1564,690790,True,3128.0
1628.4666666666667,1635.6,1484,520456,False,2968.0
1635.6,1637.2,1099,290646,True,2198.0
1637.2,1638.9333333333334,1802,317794,True,3604.0
1638.9333333333334,1640.6,1286,424311,True,2572.0
1640.6,1641.4666666666667,1081,392172,True,2162.0
1641.4666666666667,1642.2666666666667,1011,525146,True,2022.0
1642.2666666666667,1643.2,2745,304415,True,5490.0
1643.2,1645.0,1552,374575,True,3104.0
1645.0,1645.6,1439,293125,True,2878.0
1645.6,1646.4666666666667,1737,208032,True,3474.0
1646.4666666666667,1647.5333333333333,1423,327154,False,2846.0
1647.5333333333333,1651.9333333333334,1852,361008,True,3704.0
1651.9333333333334,1655.2,1915,212005,True,3830.0
1655.2,1657.7333333333333,1199,386738,True,2398.0
1657.7333333333333,1658.9333333333334,739,135199,True,1478.0
1658.9333333333334,1663.7333333333333,1279,264746,True,2558.0
1663.7333333333333,1666.6,1399,487381,True,2798.0
1666.6,1668.3999999999999,1014,154685,True,2028.0
1668.3999999999999,1670.2666666666667,921,280067,True,1842.0
1670.2666666666667,1676.0,1712,658132,True,3424.0
1676.0,1681.8,1234,987830,True,2468.0
1681.8,1683.2666666666667,255,281940,True,510.0
1683.2666666666667,1684.2666666666667,279,229117,True,558.0
1684.2666666666667,1685.0666666666666,2032,255438,True,4064.0
1685.0666666666666,1688.1333333333332,1216,427268,True,2432.0
1688.1333333333332,1690.6,874,281425,True,1748.0
1690.6,1692.2,377,303637,True,754.0
1692.2,1693.3333333333333,466,239044,True,932.0
1693.3333333333333,1699.9333333333334,460,774771,True,920.0
1699.9333333333334,1707.9333333333334,523,660430,True,1046.0
1707.9333333333334,1710.3333333333333,880,303299,True,1760.0
1710.3333333333333,1711.2,1084,199863,True,2168.0
1711.2,1712.5333333333333,1550,516350,True,3100.0
1712.5333333333333,1714.6666666666667,2339,449164,True,4678.0
1714.6666666666667,1715.2666666666667,1106,230770,True,2212.0
1715.2666666666667,1717.4666666666667,1365,287604,True,2730.0
1717.4666666666667,1718.0,1084,260232,True,2168.0
1718.0,1718.8,1108,218675,True,2216.0
1718.8,1726.2666666666667,1053,598229,True,2106.0
1726.2666666666667,1730.7333333333333,1350,228028,True,2700.0
1730.7333333333333,1733.6,1026,552574,True,2052.0
1733.6,1734.6666666666667,1038,192524,True,2076.0
1734.6666666666667,1736.7333333333333,1139,664393,True,2278.0
1736.7333333333333,1737.3999999999999,1941,206778,True,3882.0
1737.3999999999999,1746.7333333333333,1866,1042024,True,3732.0
1746.7333333333333,1755.3333333333333,2053,900560,True,4106.0
1755.3333333333333,1761.9333333333334,1988,769013,True,3976.0
1761.9333333333334,1764.6666666666667,2142,314041,True,4284.0
1764.6666666666667,1767.8666666666666,1927,405067,True,3854.0
1767.8666666666666,1769.0666666666666,1420,278038,True,2840.0
1769.0666666666666,1771.5333333333333,1984,342576,True,3968.0
1771.5333333333333,1794.8666666666666,1896,889579,True,3792.0
1794.8666666666666,1799.3999999999999,1878,295020,True,3756.0
1799.3999999999999,1825.3333333333333,1749,900565,True,3498.0
1825.3333333333333,1826.0666666666666,1677,99600,True,3354.0
1826.0666666666666,1829.9333333333334,1535,161316,True,3070.0
1829.9333333333334,1832.2,981,171022,True,1962.0
1832.2,1835.8,693,419427,True,1386.0
1835.8,1836.3333333333333,89,96387,True,178.0
1836.3333333333333,1841.2666666666667,1344,309662,True,2688.0
1841.2666666666667,1842.2,1060,133741,True,2120.0
1842.2,1842.9333333333334,1270,208934,False,2540.0
1842.9333333333334,1843.8,1430,388118,True,2860.0
1843.8,1850.1333333333332,1400,577073,True,2800.0
1850.1333333333332,1851.2,1231,155752,True,2462.0
1851.2,1852.1333333333332,359,140567,True,718.0
1852.1333333333332,1854.4666666666667,1596,214419,True,3192.0
1854.4666666666667,1857.4666666666667,1442,230274,True,2884.0
1857.4666666666667,1858.2666666666667,1210,123275,True,2420.0
1858.2666666666667,1859.7333333333333,814,212303,True,1628.0
1859.7333333333333,1860.2666666666667,1172,259647,True,2344.0
1860.2666666666667,1861.6666666666667,1027,243224,True,2054.0
1861.6666666666667,1864.9333333333334,698,371213,True,1396.0
1864.9333333333334,1865.6,86,114132,True,172.0
1865.6,1868.2,420,425103,True,840.0
1868.2,1873.8666666666666,868,386409,True,1736.0
1873.8666666666666,1891.2666666666667,1339,1158237,True,2678.0
1891.2666666666667,1892.1333333333332,3080,185127,True,6160.0
1892.1333333333332,1893.5333333333333,1106,231729,True,2212.0
1893.5333333333333,1898.0,1044,347173,True,2088.0
1898.0,1898.9333333333334,226,314252,True,452.0
1898.9333333333334,1901.9333333333334,303,321410,True,606.0
